행정동코드,생활인구_avg
11110515,20049.56897
11110530,25634.65727
11110540,5664.351529
11110550,16006.40576
11110560,18053.64595
11110570,7075.018774
11110580,7300.154646
11110600,7754.302143
11110615,64759.73134
11110630,17926.59958
11110640,25046.91373
11110650,32995.29727
11110670,8968.869405
11110680,9771.83819
11110690,4931.559266
11110700,7878.837873
11110710,13195.20687
11140520,30641.29399
11140540,26734.6911
11140550,37700.55821
11140570,13428.46678
11140580,12079.07521
11140590,23305.56236
11140605,18738.62235
11140615,23888.08943
11140625,15130.04875
11140635,14724.61219
11140645,12365.85412
11140650,10230.04632
11140665,9246.186296
11140670,13466.30796
11140680,9531.565242
11170510,13661.19887
11170520,12757.52016
11170530,17113.5348
11170555,23374.50553
11170560,21668.89367
11170570,14926.51811
11170580,10167.51099
11170590,8414.423937
11170625,50503.72361
11170630,27467.66732
11170640,7292.377717
11170650,13737.695
11170660,11385.49441
11170685,33212.46662
11170690,16037.91725
11170700,10966.53404
11200520,15443.90775
11200535,29644.44962
11200540,21658.96097
11200550,27365.50924
11200560,19114.61044
11200570,20205.35413
11200580,10863.91939
11200590,14531.44887
11200615,19744.8289
11200620,12583.71809
11200645,27590.10098
11200650,20273.82348
11200660,21714.79695
11200670,20029.93303
11200690,33873.80309
11200720,10910.18714
11200790,19964.88511
11215710,42339.77002
11215730,19929.67372
11215740,14879.90635
11215750,18759.1805
11215760,15230.75327
11215770,25166.23764
11215780,17566.27754
11215810,36359.71676
11215820,25235.60116
11215830,20844.69396
11215840,23850.59346
11215847,26651.89852
11215850,26661.82802
11215860,21333.95006
11215870,30194.01804
11230536,42842.56704
11230545,33181.61582
11230560,32236.25334
11230570,17309.13279
11230600,23146.98963
11230610,21389.66116
11230650,34679.13404
11230660,27152.52289
11230705,19095.66861
11230710,21098.41075
11230720,16954.21623
11230730,21051.7641
11230740,25698.6228
11230750,15161.2772
11260520,19831.77074
11260540,17817.10431
11260550,12083.84634
11260565,26787.63284
11260570,19125.00595
11260575,19812.86907
11260580,17647.47839
11260590,26950.56539
11260600,16966.24664
11260610,24782.27657
11260620,26049.06901
11260630,19242.00635
11260655,39918.56232
11260660,12119.93407
11260680,34802.78379
11260690,17382.70775
11290525,21926.36461
11290555,26964.22216
11290575,26018.95675
11290580,12848.30436
11290590,13923.65566
11290600,29097.70873
11290610,15750.17828
11290620,13745.50922
11290630,19518.51029
11290640,17825.96552
11290650,18386.48136
11290660,35377.31239
11290685,18833.14949
11290705,36624.6195
11290715,26269.50082
11290725,22561.17837
11290760,21070.61458
11290770,12109.15382
11290780,7232.921118
11290810,27404.61855
11305534,23135.81584
11305535,23045.7569
11305545,35126.40482
11305555,27237.78276
11305575,21691.59942
11305590,17457.06512
11305600,12976.65138
11305606,15072.82066
11305610,18074.8912
11305620,18341.13431
11305630,28372.2608
11305645,19139.67657
11305660,28371.64991
11320511,22858.49036
11320512,28906.8531
11320513,10487.89905
11320514,29114.18932
11320515,19914.48554
11320521,18694.59939
11320522,20009.23039
11320660,18118.67759
11320670,17262.36945
11320680,15967.74636
11320681,13901.97867
11320690,24155.47743
11320700,11480.62918
11320710,20668.02684
11350560,23902.07048
11350570,20606.24156
11350580,25560.96791
11350595,44036.79399
11350600,47624.79715
11350611,26631.24017
11350612,14655.82763
11350619,20448.98361
11350621,26067.46536
11350624,16417.13038
11350625,33137.90226
11350630,36695.73808
11350640,29556.1078
11350665,20759.09346
11350670,18493.05737
11350695,48025.56238
11350700,18236.75577
11350710,18697.72622
11350720,12883.53832
11380510,34179.21217
11380520,30670.95517
11380530,21150.49368
11380551,24262.94142
11380552,22681.6374
11380560,25568.92967
11380570,39648.7011
11380580,23905.23842
11380590,14397.89087
11380600,24843.7226
11380625,42034.55834
11380631,23713.23586
11380632,13842.77133
11380640,13204.13534
11380650,13389.46329
11380690,62765.10846
11410520,16853.76138
11410555,37993.28995
11410565,41675.70686
11410585,58004.18038
11410615,38611.33272
11410620,23839.01188
11410640,16381.21136
11410655,9566.021823
11410660,13912.9003
11410685,26346.5391
11410690,7208.738652
11410700,20686.65004
11410710,13693.16598
11410720,37020.3035
11440555,26103.14497
11440565,38706.98373
11440585,17002.55892
11440590,31411.34905
11440600,22493.60021
11440610,12006.49677
11440630,18159.2402
11440655,28426.49162
11440660,73934.93375
11440680,23599.73185
11440690,20080.38412
11440700,17604.63011
11440710,18898.63711
11440720,21283.23095
11440730,35748.98608
11440740,48831.92164
11470510,46680.945
11470520,22390.34907
11470530,17076.3793
11470540,18582.79683
11470550,38761.13871
11470560,15133.43387
11470570,15074.59958
