구,동,인구합계,남자,여자,65세이상,성비 ,65세이하 인구비율
종로구,사직동,9630,4335,5295,1787,81.9 ,81.4 
종로구,삼청동,2741,1312,1429,635,91.8 ,76.8 
종로구,부암동,9702,4654,5048,1811,92.2 ,81.3 
종로구,평창동,18272,8518,9754,3472,87.3 ,81.0 
종로구,무악동,8245,3823,4422,1453,86.5 ,82.4 
종로구,교남동,10148,4671,5477,1644,85.3 ,83.8 
종로구,가회동,4152,1915,2237,865,85.6 ,79.2 
종로구,종로1.2.3.4가동,8867,5094,3773,1964,135.0 ,77.9 
종로구,종로5·6가동,5464,2894,2570,1056,112.6 ,80.7 
종로구,이화동,7697,3613,4084,1361,88.5 ,82.3 
종로구,창신1동,5640,3006,2634,1255,114.1 ,77.7 
종로구,창신2동,8984,4597,4387,1788,104.8 ,80.1 
종로구,창신3동,6668,3302,3366,1212,98.1 ,81.8 
종로구,숭인1동,6126,2913,3213,1193,90.7 ,80.5 
종로구,숭인2동,10266,5048,5218,1676,96.7 ,83.7 
종로구,청운효자동,12100,5595,6505,2178,86.0 ,82.0 
종로구,혜화동,18982,8728,10254,2714,85.1 ,85.7 
중구,소공동,3423,1739,1684,305,103.3 ,91.1 
중구,회현동,5394,2793,2601,1391,107.4 ,74.2 
중구,명동,3726,1654,2072,772,79.8 ,79.3 
중구,필동,4630,2365,2265,919,104.4 ,80.2 
중구,장충동,5301,2711,2590,868,104.7 ,83.6 
중구,광희동,6326,3194,3132,1137,102.0 ,82.0 
중구,을지로동,1932,1148,784,478,146.4 ,75.3 
중구,신당5동,10640,5156,5484,1839,94.0 ,82.7 
중구,황학동,13481,6364,7117,2065,89.4 ,84.7 
중구,중림동,12283,6118,6165,2100,99.2 ,82.9 
중구,신당동,9116,4406,4710,1491,93.5 ,83.6 
중구,다산동,14193,6860,7333,2797,93.5 ,80.3 
중구,약수동,16847,7814,9033,3877,86.5 ,77.0 
중구,청구동,13769,6544,7225,2779,90.6 ,79.8 
중구,동화동,10389,5003,5386,1924,92.9 ,81.5 
용산구,후암동,17220,8408,8812,3062,95.4 ,82.2 
용산구,용산2가동,10779,5270,5509,2057,95.7 ,80.9 
용산구,남영동,7811,4700,3111,1575,151.1 ,79.8 
용산구,원효로2동,13839,6513,7326,2308,88.9 ,83.3 
용산구,효창동,10179,4831,5348,1496,90.3 ,85.3 
용산구,용문동,11932,5694,6238,2171,91.3 ,81.8 
용산구,이촌1동,26447,12435,14012,4397,88.7 ,83.4 
용산구,이촌2동,8310,3883,4427,1796,87.7 ,78.4 
용산구,이태원1동,8068,4200,3868,1392,108.6 ,82.7 
용산구,이태원2동,10576,4966,5610,1848,88.5 ,82.5 
용산구,서빙고동,13879,6659,7220,2159,92.2 ,84.4 
용산구,보광동,14610,7463,7147,2726,104.4 ,81.3 
용산구,청파동,20081,9279,10802,3326,85.9 ,83.4 
용산구,원효로1동,16618,7900,8718,2013,90.6 ,87.9 
용산구,한강로동,23286,11158,12128,3291,92.0 ,85.9 
용산구,한남동,22883,11212,11671,3844,96.1 ,83.2 
성동구,왕십리2동,16730,8061,8669,2591,93.0 ,84.5 
성동구,마장동,22975,11267,11708,3986,96.2 ,82.7 
성동구,사근동,13627,6840,6787,1522,100.8 ,88.8 
성동구,행당1동,14238,6834,7404,2154,92.3 ,84.9 
성동구,행당2동,23273,10886,12387,3878,87.9 ,83.3 
성동구,응봉동,15348,7313,8035,2575,91.0 ,83.2 
성동구,금호1가동,15196,7227,7969,2676,90.7 ,82.4 
성동구,금호4가동,14419,6852,7567,2431,90.6 ,83.1 
성동구,성수1가1동,16792,8393,8399,2319,99.9 ,86.2 
성동구,성수1가2동,12686,6214,6472,1953,96.0 ,84.6 
성동구,성수2가1동,16138,8405,7733,2939,108.7 ,81.8 
성동구,성수2가3동,10926,5509,5417,1915,101.7 ,82.5 
성동구,송정동,10854,5711,5143,1856,111.0 ,82.9 
성동구,용답동,12474,6389,6085,2187,105.0 ,82.5 
성동구,왕십리도선동,26959,12736,14223,3850,89.5 ,85.7 
성동구,금호2.3가동,22801,10820,11981,3908,90.3 ,82.9 
성동구,옥수동,26173,12205,13968,4156,87.4 ,84.1 
광진구,화양동,26567,12266,14301,2346,85.8 ,91.2 
광진구,군자동,21341,10530,10811,3054,97.4 ,85.7 
광진구,중곡1동,15761,7603,8158,2561,93.2 ,83.8 
광진구,중곡2동,21650,10158,11492,3327,88.4 ,84.6 
광진구,중곡3동,16301,8058,8243,2895,97.8 ,82.2 
광진구,중곡4동,28806,14048,14758,5254,95.2 ,81.8 
광진구,능동,11602,5342,6260,1660,85.3 ,85.7 
광진구,구의1동,23481,11168,12313,3249,90.7 ,86.2 
광진구,구의2동,26891,12943,13948,4431,92.8 ,83.5 
광진구,구의3동,28756,13585,15171,4211,89.5 ,85.4 
광진구,광장동,34719,16796,17923,3849,93.7 ,88.9 
광진구,자양1동,23019,11111,11908,3552,93.3 ,84.6 
광진구,자양2동,24768,11980,12788,4095,93.7 ,83.5 
광진구,자양3동,28172,13453,14719,4320,91.4 ,84.7 
광진구,자양4동,21276,10484,10792,3800,97.1 ,82.1 
동대문구,회기동,12924,5938,6986,1570,85.0 ,87.9 
동대문구,휘경1동,16110,7349,8761,2140,83.9 ,86.7 
동대문구,휘경2동,24857,12330,12527,4043,98.4 ,83.7 
동대문구,청량리동,19216,9540,9676,5290,98.6 ,72.5 
동대문구,용신동,33984,16850,17134,5839,98.3 ,82.8 
동대문구,제기동,26598,13339,13259,5820,100.6 ,78.1 
동대문구,전농1동,29553,14753,14800,5696,99.7 ,80.7 
동대문구,전농2동,18747,8985,9762,3699,92.0 ,80.3 
동대문구,답십리2동,28376,13803,14573,5610,94.7 ,80.2 
동대문구,장안1동,38712,19103,19609,6606,97.4 ,82.9 
동대문구,장안2동,32761,16289,16472,5293,98.9 ,83.8 
동대문구,이문1동,21054,10123,10931,3193,92.6 ,84.8 
동대문구,이문2동,20364,9809,10555,4033,92.9 ,80.2 
동대문구,답십리1동,29336,14107,15229,4131,92.6 ,85.9 
중랑구,면목2동,24449,12161,12288,4633,99.0 ,81.1 
중랑구,면목4동,19215,9534,9681,3868,98.5 ,79.9 
중랑구,면목5동,14959,7506,7453,2273,100.7 ,84.8 
중랑구,면목7동,22027,11029,10998,4376,100.3 ,80.1 
중랑구,상봉1동,24017,11676,12341,3872,94.6 ,83.9 
중랑구,상봉2동,20558,9891,10667,3063,92.7 ,85.1 
